id	symbol	pval|float	pval_adj|float	log2FC|float	HGNC.symbol	mean1|float	cells1|int	mean2|float	cells2|int	mean_diff|float	zscore|float
Ncf2	Ncf2	0.00000E+00	0	10.7894099739028	NCF2	0.699217364990971	27	0.000395071924320394	3	0.69882229306665	67.8160985868964
Stk17b	Stk17b	0.00000E+00	0	5.94520668005802	STK17B	2.97613727119033	50	0.048302256250717	364	2.92783501493962	86.4604184389175
Sell	Sell	0.00000E+00	0	8.42737219048351	SELL	1.25607028533707	29	0.00364856533624198	16	1.25242172000082	60.8317487253064
Fcgr2b	Fcgr2b	0.00000E+00	0	8.46944677633659	FCGR2C	0.651303406918027	23	0.001837493551239	11	0.649465913366788	54.4373385586736
Fcgr3	Fcgr3	0.00000E+00	0	9.63431113356107	FCGR2C	0.628070770570292	20	0.000790299930466174	5	0.627280470639826	63.306394279396
Fcer1g	Fcer1g	0.00000E+00	0	7.98281468046878	FCER1G	2.68626385588214	33	0.0106189603688872	72	2.67564489551326	103.167595413605
Ptprc	Ptprc	0.00000E+00	0	8.41916882827882	PTPRC	3.2158547435413	48	0.00939450859445354	36	3.20646023494685	112.295478669817
Cd48	Cd48	0.00000E+00	0	8.03288847521027	CD48	0.44945966308319	21	0.0017161306151769	11	0.447743532468014	50.2882197017295
Slamf9	Slamf9	0.00000E+00	0	7.39462401082913	SLAMF9	0.296901407102534	13	0.00176444701732979	16	0.295136960085204	44.1787371868504
Rgs2	Rgs2	0.00000E+00	0	5.13558464807223	RGS2	2.29667749142824	42	0.0653333593802189	274	2.23134413204802	44.7472087998074
Aim2	Aim2	0.00000E+00	0	8.93205859369098	AIM2	0.246813451600221	15	0.000505302289251597	4	0.24630814931097	42.647963216143
Kmo	Kmo	0.00000E+00	0	11.0924258002725	KMO	0.240592780954989	10	0.000110186833206974	1	0.240482594121782	38.7445318399625
Cd84	Cd84	0.00000E+00	0	7.85284734031142	CD84	0.437171693445973	20	0.00189107796022625	11	0.435280615485747	46.8875977544365
Arhgap30	Arhgap30	0.00000E+00	0	8.32602815176615	ARHGAP30	0.746103985701174	28	0.0023249581592378	17	0.743779027541936	70.1819756945848
Spi1	Spi1	0.00000E+00	0	8.44808663435582	SPI1	0.42353484899081	22	0.00121272314866297	11	0.422322125842147	41.9713809437772
Mrc1	Mrc1	0.00000E+00	0	6.91594894140114	MRC1	0.740236894187209	16	0.00613003066645339	29	0.734106863520755	42.0468067952598
Apbb1ip	Apbb1ip	0.00000E+00	0	5.49975578812317	APBB1IP	1.18106929904306	39	0.0261026090894444	179	1.15496668995361	46.246723540147
Itga4	Itga4	0.00000E+00	0	6.83181950345936	ITGA4	1.14427449671838	34	0.0100449463865358	52	1.13422955033184	51.427726593727
Btk	Btk	0.00000E+00	0	9.65431899665475	BTK	0.407184156688359	20	0.000505302289251597	4	0.406678854399107	45.8429467938531
Was	Was	0.00000E+00	0	7.59044009781727	WAS	0.329634420441658	20	0.00171033981077388	12	0.327924080630884	45.7921552133137
Cybb	Cybb	0.00000E+00	0	11.6875752070662	CYBB	2.54496619936071	36	0.000771562843179205	6	2.54419463651753	128.16057362047
Tlr7	Tlr7	0.00000E+00	0	Inf	TLR7	0.296986008887475	17	0	0	0.296986008887475	49.8363235724329
Ctss	Ctss	0.00000E+00	0	10.4438385669661	CTSS	4.58294892787854	46	0.00329030637556119	25	4.57965862150298	187.985420905157
Fcrls	Fcrls	0.00000E+00	0	11.4142542498298	FCRL4	0.300720205068792	9	0.000110186833206974	1	0.300610018235585	41.2622615738855
Fcrl1	Fcrl1	0.00000E+00	0	Inf	NA	0.129776481616176	7	0	0	0.129776481616176	46.532772068388
Bank1	Bank1	0.00000E+00	0	11.4276432368369	BANK1	0.910672459646558	24	0.000330596924373351	3	0.910341862722184	54.8004327496273
Cd53	Cd53	0.00000E+00	0	8.94612229957482	CD53	2.48337613585548	46	0.00503490576283437	22	2.47834123009264	112.727333837877
Laptm5	Laptm5	0.00000E+00	0	8.92621897500847	LAPTM5	3.79375023757771	50	0.00779846408279416	33	3.78595177349492	147.653653644029
Pik3cd	Pik3cd	0.00000E+00	0	6.48695172884854	PIK3CD	0.575044514588298	26	0.00641112750446162	46	0.568633387083837	39.9906570114419
Themis2	Themis2	0.00000E+00	0	11.7339872399961	THEMIS2	0.375328747469614	18	0.000110186833206974	1	0.375218560636407	48.2288875372731
Fgr	Fgr	0.00000E+00	0	9.88231331962683	FGR	0.520077599748444	20	0.000551055590795662	5	0.519526544157648	57.0162427944912
Cd52	Cd52	0.00000E+00	0	8.89044994475814	CD52	4.41122494364492	49	0.00929537887729739	36	4.40192956476763	136.426554540282
C1qb	C1qb	0.00000E+00	0	8.59427830074989	C1QB	0.646528638364119	10	0.00167283153681479	14	0.644855806827304	47.1222437410973
C1qc	C1qc	0.00000E+00	0	8.86415662922044	C1QC	0.595188655468896	9	0.00127725500490176	11	0.593911400463994	52.7935340947982
C1qa	C1qa	0.00000E+00	0	9.38837184943901	C1QA	0.443182011148048	9	0.000661303143073106	6	0.442520708004975	46.5544636518873
Pax5	Pax5	0.00000E+00	0	10.7922592855606	PAX5	0.700599678512288	22	0.000395071924320394	3	0.700204606587968	48.4569223480549
Alox5ap	Alox5ap	0.00000E+00	0	7.88621997925647	ALOX5AP	1.40346884676622	27	0.00593217577111545	39	1.3975366709951	66.9244592902082
Stap1	Stap1	0.00000E+00	0	8.91380634145822	STAP1	0.562822509875319	22	0.00116693959031679	9	0.561655570285002	54.2516955201193
Selplg	Selplg	0.00000E+00	0	7.47531058475868	SELPLG	0.906411705709087	32	0.00509369330939893	27	0.901318012399688	56.9415548045621
Cxcl2	Cxcl2	0.00000E+00	0	6.93348117410251	NA	0.993725536189742	14	0.00812981461486586	54	0.985595721574876	39.0109593207761
Pilra	Pilra	0.00000E+00	0	10.5514618429386	NA	0.427492385859782	15	0.000284853703985851	2	0.427207532155796	42.6946283006515
Igkc	Igkc	0.00000E+00	0	9.81849083301413	IGKC	3.52270703519046	24	0.00390136221817232	31	3.51880567297229	90.5915630287813
Clec4a1	Clec4a1	0.00000E+00	0	9.95530810572926	CLEC4A	0.328204978710793	13	0.000330596924373351	3	0.32787438178642	46.1777644103539
Clec4a3	Clec4a3	0.00000E+00	0	Inf	CLEC4C	0.286865895864446	14	0	0	0.286865895864446	43.7351200744591
Clec4a2	Clec4a2	0.00000E+00	0	Inf	CLEC4C	0.241927932622488	13	0	0	0.241927932622488	40.9502472587741
Cd163	Cd163	0.00000E+00	0	Inf	CD163	0.237084824643288	7	0	0	0.237084824643288	44.8528583908281
Clec2i	Clec2i	0.00000E+00	0	11.68733895278	CLEC2D	0.363386924057992	17	0.000110186833206974	1	0.363276737224785	44.7275559770267
Cd69	Cd69	0.00000E+00	0	8.14319742414681	CD69	0.464725205479547	21	0.00164380214503459	10	0.463081403334512	45.8193049389814
Clec12a	Clec12a	0.00000E+00	0	7.87540272300809	CLEC12A	0.336583361669683	14	0.00143337622318558	13	0.335149985446497	38.8608393234558
Clec7a	Clec7a	0.00000E+00	0	11.1021180438623	CLEC7A	0.96901838988147	22	0.000440820185008489	4	0.968577569696461	54.6548109030845
Arhgdib	Arhgdib	0.00000E+00	0	6.63162582100461	ARHGDIB	3.2371806406862	53	0.0326474031633615	177	3.20453323752284	93.5461423792905
Ptpro	Ptpro	0.00000E+00	0	Inf	PTPRO	0.182246511624779	10	0	0	0.182246511624779	54.2680133946119
Rassf4	Rassf4	0.00000E+00	0	6.19232254477553	RASSF4	0.544399583405399	23	0.00744462721120194	58	0.536954956194197	42.5601160839768
Cd19	Cd19	0.00000E+00	0	11.5877753903721	CD19	0.678346516033066	22	0.000220385807552159	2	0.678126130225514	45.0370449178083
Siglecg	Siglecg	0.00000E+00	0	9.86064471841457	SIGLEC10	0.614823450127534	22	0.000661303143073106	5	0.614162146984461	50.5001590572129
Cd33	Cd33	0.00000E+00	0	Inf	CD33	0.475044083171986	21	0	0	0.475044083171986	50.0266904095285
Coro1a	Coro1a	0.00000E+00	0	8.60883818275211	CORO1A	3.53130551914794	48	0.00904517080638923	49	3.52226034834155	116.417172402485
C5ar1	C5ar1	0.00000E+00	0	10.7264640682537	C5AR1	0.746876688490162	19	0.000440820185008489	4	0.746435868305154	57.8820370201157
Gvin-ps7	Gvin-ps7	0.00000E+00	0	5.56997858036742	NA	1.13481739038977	35	0.0238888561108369	122	1.11092853427894	43.6501293192414
Gvin3	Gvin3	0.00000E+00	0	7.51996671188613	NA	0.362848117182336	16	0.00197692105661312	12	0.360871196125723	38.034463911153
Itgal	Itgal	0.00000E+00	0	6.32436619590162	ITGAL	0.706111619435543	25	0.00881149155982007	59	0.697300127875723	42.2581030469591
Lair1	Lair1	0.00000E+00	0	10.4004296679448	NA	0.297868735071247	13	0.000220385807552159	2	0.297648349263695	56.0819841678541
Itgam	Itgam	0.00000E+00	0	8.65561153999668	ITGAM	0.536964890844984	18	0.00133151844267014	7	0.535633372402314	48.8338094182658
